Geometry,Freq (Hz),Range,Time Slot (s),channel,ISI,
VL,0.6,1,0.06,Rx0,0.0111603,
VL,0.6,1,0.06,Rx0,1.79688e-05,
VL,0.6,1,0.06,Rx0,0.0600122,
VL,0.6,1,0.06,Rx0,0.0431438,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.0120125,
VL,0.6,1,0.06,Rx0,0.00517784,
VL,0.6,1,0.06,Rx0,0.000101185,
VL,0.6,1,0.06,Rx0,0.020812,
VL,0.6,1,0.06,Rx0,0.0395516,
VL,0.6,1,0.06,Rx0,0.00605118,
VL,0.6,1,0.06,Rx0,0.101785,
VL,0.6,1,0.06,Rx0,0.207447,
VL,0.6,1,0.06,Rx0,0.0375128,
VL,0.6,1,0.06,Rx0,0.00524613,
VL,0.6,1,0.06,Rx0,0.0359976,
VL,0.6,1,0.06,Rx0,0.000456121,
VL,0.6,1,0.06,Rx0,0.035374,
VL,0.6,1,0.06,Rx0,0.0185146,
VL,0.6,1,0.06,Rx0,0.039788,
VL,0.6,1,0.06,Rx0,0.0250875,
VL,0.6,1,0.06,Rx0,0.0504904,
VL,0.6,1,0.06,Rx0,0.109139,
VL,0.6,1,0.06,Rx0,0.0355462,
VL,0.6,1,0.06,Rx0,0.0032174,
VL,0.6,1,0.06,Rx0,0.0298009,
VL,0.6,1,0.06,Rx0,0.0101304,
VL,0.6,1,0.06,Rx0,0.0223254,
VL,0.6,1,0.06,Rx0,0.0186221,
VL,0.6,1,0.06,Rx0,0.00300086,
VL,0.6,1,0.06,Rx0,3.98276e-06,
VL,0.6,1,0.06,Rx0,0.0245487,
VL,0.6,1,0.06,Rx0,0.00514199,
VL,0.6,1,0.06,Rx0,0.0151175,
VL,0.6,1,0.06,Rx0,0.102141,
VL,0.6,1,0.06,Rx0,0.0470655,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.0550356,
VL,0.6,1,0.06,Rx0,0.00521836,
VL,0.6,1,0.06,Rx0,0.0375372,
VL,0.6,1,0.06,Rx0,0.0310169,
VL,0.6,1,0.06,Rx0,0.00403632,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.114061,
VL,0.6,1,0.06,Rx0,0.00253261,
VL,0.6,1,0.06,Rx0,0.0750063,
VL,0.6,1,0.06,Rx0,0.00886285,
VL,0.6,1,0.06,Rx0,0.010972,
VL,0.6,1,0.06,Rx0,0.00442887,
VL,0.6,1,0.06,Rx0,0.135795,
VL,0.6,1,0.06,Rx0,0.0110809,
VL,0.6,1,0.06,Rx0,0.00855474,
VL,0.6,1,0.06,Rx0,0.00870337,
VL,0.6,1,0.06,Rx0,0.0754636,
VL,0.6,1,0.06,Rx0,0.0409579,
VL,0.6,1,0.06,Rx0,0.0318627,
VL,0.6,1,0.06,Rx0,0.0262377,
VL,0.6,1,0.06,Rx0,0.0032067,
VL,0.6,1,0.06,Rx0,0.00819259,
VL,0.6,1,0.06,Rx0,0.0230523,
VL,0.6,1,0.06,Rx0,0.00758569,
VL,0.6,1,0.06,Rx0,0.00859947,
VL,0.6,1,0.06,Rx0,0.0250907,
VL,0.6,1,0.06,Rx0,0.018295,
VL,0.6,1,0.06,Rx0,0.0283091,
VL,0.6,1,0.06,Rx0,0.00346394,
VL,0.6,1,0.06,Rx0,0.00336508,
VL,0.6,1,0.06,Rx0,0.00580544,
VL,0.6,1,0.06,Rx0,0.127916,
VL,0.6,1,0.06,Rx0,0.03945,
VL,0.6,1,0.06,Rx0,0.0706472,
VL,0.6,1,0.06,Rx0,0.00820482,
VL,0.6,1,0.06,Rx0,0.0293523,
VL,0.6,1,0.06,Rx0,0.014235,
VL,0.6,1,0.06,Rx0,0.00233419,
VL,0.6,1,0.06,Rx0,0.00981537,
VL,0.6,1,0.06,Rx0,0.0161757,
